Trinity.gene	50RH_Bag1_1	50RH_Bag1_2	50RH_Bag1_3	85RH_Bag1_1	85RH_Bag1_2	100RH_Bag1_1	100RH_Bag1_2	100RH_Bag1_3	50RH_Bag2_1	85RH_Bag2_1	100RH_Bag2_1	50RH_Bag3_1	85RH_Bag3_1	100RH_Bag3_1	50RH_Bag4_1	85RH_Bag4_1	100RH_Bag4_1	100RH_Bag4_2	100RH_Bag4_3
TRINITY_DN7127_c0_g1	0	0	0	0	0	1.462	0.22	2.97	0	0	1.118	0	0	0.263	0	0	1.379	0.904	1.22
TRINITY_DN34480_c0_g1	0	0	0	0	0	0.404	0.074	0.293	0	0	0.354	0	0	3.125	0	0	0.044	0	0.183
TRINITY_DN4765_c0_g1	0.269	0	0	5.033	0.737	4.285	2.913	1.978	0.531	12.253	5.756	2.696	12.586	4.236	1.845	0.536	13.231	9.851	9.409
TRINITY_DN14987_c0_g2	0	0	0	0	0	2.317	1.314	2.578	0	1.383	2.257	0	0	0.836	0	0	4.366	1.043	0.756
TRINITY_DN4156_c0_g1	0	0	0	0	0	18.271	9.685	9.163	11.105	1.383	45.662	7.215	29.766	31.341	1.217	0	81.459	56.879	38.456
TRINITY_DN5635_c0_g1	0	0	0	0	0	1.338	0.189	1.036	0	16.6	0.86	0	2.64	0.313	0	0	3.546	1.073	1.186
TRINITY_DN9650_c0_g2	0	0	0	0	0	5.654	0.775	4.164	0	0	3.241	0	0	2.289	0	0	5.723	1.026	1.794
TRINITY_DN39884_c0_g1	0	0	0	0	0	0.25	0.026	0.566	0	0	1.496	0	0	2.444	0	0	0.305	0.178	0
TRINITY_DN24967_c0_g2	0	0	0	0	0	4.334	1.304	2.476	0	0	0.245	0	0	0.242	0	0	8.751	3.857	4.906
TRINITY_DN24834_c0_g2	0	0	0	0	0	1.343	0.063	0.863	0	1.779	0.8	0	0	0.297	0	0	2.829	0.877	1.188
TRINITY_DN25548_c0_g1	0	0	0	0	0	2.154	0.415	1.052	0	0	0.203	0	0	0.652	0	0	0.372	0.19	0.212
TRINITY_DN4429_c0_g2	0	0	0.101	0	0	1.257	0.5	0.71	0	90.314	2.229	0	0.76	1.633	0	0	4.796	3.688	4.462
TRINITY_DN15024_c0_g2	0	0	0	0	0	7.594	0.132	1.993	0	0	1.323	0.402	0	2.456	0	0	0.132	0	0
TRINITY_DN30667_c0_g2	0	0	0	0	0	0.4	0.024	0.321	0	2.371	0.175	0	0	0.054	0	0	0.669	0.406	0.507
TRINITY_DN10605_c0_g2	0	0	0	0	0	0.959	0.399	0.561	0	0.988	0.689	0	0	0.088	0	0	1.379	0.439	0.51
TRINITY_DN10741_c0_g1	0	0	0	0	0	0.753	0.497	0.647	0	0	0.734	0	0	0	0	0	0.644	0.053	0.279
TRINITY_DN32518_c0_g1	0	0	0	0	0	9.743	0.642	7.46	0	0	2.916	0	0	2.49	0	0	29.298	9.86	13.645
TRINITY_DN17774_c0_g2	0	0	0	0	0	0	0	0	0	0	1.536	0	0	19.046	0	0	7.537	1.384	1.686
